key	value	is_plural	phrase
aeroway	aerodrome	0	فرودگاه
aeroway	aerodrome	1	فرودگاهها
amenity	atm	0	عابربانک
amenity	atm	1	عابربانکها
amenity	bank	0	بانک
amenity	bank	1	بانکها
amenity	bench	0	نیمکت
amenity	bench	1	نیمکتها
amenity	brothel	0	فاحشه خانه
amenity	brothel	1	فاحشه خانه ها
amenity	cafe	0	کافه
amenity	cafe	1	کافه ها
amenity	cinema	0	سینما
amenity	cinema	1	سینماها
amenity	clinic	0	درمانگاه
amenity	clinic	1	درمانگاهها
amenity	courthouse	0	دادگاه
amenity	courthouse	1	دادگاهها
amenity	dentist	0	دندانپزشک
amenity	dentist	1	دندانپزشکان
amenity	embassy	0	سفارت
amenity	embassy	1	سفارتها
amenity	fire_station	0	آتش نشانی
amenity	fire_station	1	آتش نشانی ها
amenity	fuel	0	پمپ بنزین
amenity	fuel	1	پمپ بنزین ها
amenity	hospital	0	بیمارستان
amenity	hospital	1	بیمارستانها
amenity	kindergarten	0	کودکستان
amenity	kindergarten	1	کودکستانها
amenity	library	0	کتابخانه
amenity	library	1	کتابخانه ها
amenity	pharmacy	0	داروخانه
amenity	pharmacy	1	داروخانه ها
amenity	police	0	پلیس
amenity	police	1	پلیس ها
amenity	post_box	0	صندوق پست
amenity	post_box	1	صندوقهای پست
amenity	post_office	0	اداره پست
amenity	post_office	1	اداره های پست 
amenity	prison	0	زندان
amenity	prison	1	زندانها
amenity	pub	0	میخانه
amenity	pub	1	میخانه ها
amenity	recycling	0	بازیافت
amenity	recycling	1	بازیافت ها
amenity	restaurant	0	رستوران
amenity	restaurant	1	رستوران ها
amenity	school	0	مدرسه
amenity	school	1	مدرسه ها
amenity	taxi	0	تاکسی
amenity	taxi	1	تاکسی ها
amenity	theatre	0	تئاتر
amenity	theatre	1	تئاترها
amenity	townhall	0	شهرداری
amenity	townhall	1	شهرداریها
amenity	university	0	دانشگاه
amenity	university	1	دانشگاهها
amenity	waste_basket	0	سطل آشغال
amenity	waste_basket	1	سطلهای آشغال
building	garage	0	گاراژ
building	garage	1	گاراژها
building	hotel	0	هتل
building	hotel	1	هتلها
building	house	0	خانه
building	house	1	خانهها
building	stadium	0	ورزشگاه
building	stadium	1	ورزشگاهها
building	tower	0	برج
building	tower	1	برجها
highway	bus_stop	0	ایستگاه اتوبوس
highway	bus_stop	1	ایستگاههای اتوبوس
highway	motorway	0	اتوبان
highway	motorway	1	اتوبانها
highway	path	0	مسیر
highway	path	1	مسیرها
highway	road	0	جاده
highway	road	1	جاده ها
highway	steps	0	پله
highway	steps	1	پله ها
highway	trunk	0	بزرگراه
highway	trunk	1	بزرگراهها
historic	castle	0	قلعه
historic	castle	1	قلعه ها
landuse	farmland	0	زمین کشاورزی
landuse	farmland	1	زمینهای کشاورزی
landuse	forest	0	جنگل
landuse	forest	1	جنگلها
landuse	railway	0	ریل
landuse	railway	1	ریلها
leisure	garden	0	باغ
leisure	garden	1	باغها
leisure	park	0	پارک
leisure	park	1	پارکها
leisure	stadium	0	ورزشگاه
leisure	stadium	1	ورزشگاهها
natural	beach	0	ساحل
natural	beach	1	ساحلها
natural	coastline	0	ساحل
natural	coastline	1	ساحلها
natural	rock	0	صخره
natural	rock	1	صخره ها
natural	tree	0	درخت
natural	tree	1	درختان
natural	valley	0	دره
natural	valley	1	دره ها
natural	volcano	0	کوه آتشفشان
natural	volcano	1	کوههای آتشفشان
natural	water	0	آب
natural	water	1	آبها
natural	wood	0	جنگل
natural	wood	1	جنگلها
place	city	0	شهر بزرگ
place	city	1	شهرهای بزرگ
place	country	0	کشور
place	country	1	کشورها
place	farm	0	مزرعه
place	farm	1	مزرعه ها
place	house	0	خانه
place	house	1	خانه ها
place	island	0	جزیره
place	island	1	جزیره ها
place	sea	0	دریا
place	sea	1	دریاها
place	suburb	0	محله
place	suburb	1	محله ها
place	town	0	شهر
place	town	1	شهرها
place	village	0	دهکده
place	village	1	دهکده ها
shop	bakery	0	نانوایی
shop	bakery	1	نانوایی ها
shop	butcher	0	قصاب
shop	butcher	1	قصابها
shop	kiosk	0	کیوسک
shop	kiosk	1	کیوسکها
shop	supermarket	0	سوپرمارکت
shop	supermarket	1	سوپرمارکتها
tourism	hotel	0	هتل
tourism	hotel	1	هتلها
tourism	motel	0	متل
tourism	motel	1	متلها
tourism	museum	0	موزه
tourism	museum	1	موزه ها
tourism	zoo	0	باغ وحش
tourism	zoo	1	باغ وحش ها
waterway	canal	0	کانال
waterway	canal	1	کانالها
waterway	river	0	رودخانه
waterway	river	1	رودخانه ها
waterway	waterfall	0	آبشار
waterway	waterfall	1	آبشارها
